FID	IID	SOL	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	Group
M011	NA19684	0	0.0408143	-0.000561462	-0.0113579	-0.00832103	-0.0411368	0.0147507	0.0446585	0.0104847	-0.00117124	-0.0119438	2
M012	NA19663	0	0.100472	0.0089936	0.00152454	0.0032571	-0.0017043	0.00555925	-0.0167772	0.00234171	0.0218371	-0.00206637	2
M014	NA19716	0	0.0861126	0.000210636	0.00147264	0.00812516	-0.0316144	-0.00595469	0.000926373	-0.00204569	0.0128121	-0.019981	2
M015	NA19719	0	0.0612021	-0.00565003	0.0386457	-0.0150663	-0.001907	0.00671789	-0.00441018	-0.00691223	0.012559	-0.0201688	2
M015	NA19720	0	0.108237	0.00251848	0.00867774	-0.00142142	0.0131355	-0.00270144	0.0140145	-0.00239821	0.0155965	-0.0142687	2
M016	NA19722	0	0.0768288	-0.00572125	-0.0128934	-0.0398528	-0.00978843	-0.0185277	0.00613384	-0.00948847	-0.0103557	-0.0117039	2
M016	NA19723	0	0.0779242	-0.00084707	-0.0382478	-0.0119431	-0.00301826	-0.0111082	-0.00877641	-0.00864394	0.0120544	0.0112913	2
M017	NA19726	0	0.0979307	0.000549384	-0.00350444	-0.00441711	-0.0101575	0.00760837	-0.015924	0.0208549	0.0226959	0.000918348	2
M017	NA19725	0	0.0527608	-0.00256391	-0.00972211	0.0290517	0.017974	-0.0229136	-0.0374001	-0.020565	-0.0235942	0.0118114	2
M023	NA19747	0	0.0857895	-0.00169355	-0.00342626	-0.0157544	0.0233592	-0.0202271	0.018907	-0.00968778	-0.029265	0.00219994	2
M023	NA19746	0	0.110504	0.00426464	-0.0145817	-0.0170459	0.0278477	-0.0140368	-0.0216627	-0.00650576	-0.00807752	-0.00136209	2
M024	NA19749	0	0.051697	0.00767179	-0.000167681	-0.0150636	0.0210191	0.0177558	-0.00266163	0.00766672	0.00906315	0.0270813	2
M024	NA19750	0	0.0435955	0.00501092	0.0495506	-0.0332515	-0.0051243	-0.0347995	0.0157597	0.00116383	-0.0146888	0.00567718	2
M026	NA19755	0	0.108695	-0.00537415	-0.000260655	0.00648779	-0.00517329	0.0157299	-0.0016235	-0.0158292	-0.00866301	-0.0149632	2
M026	NA19756	0	0.0748938	0.000556077	0.00358787	-0.0496026	-0.00314278	-0.00978212	-0.00412886	-0.0115595	0.0103232	0.0455134	2
M027	NA19759	0	0.121339	-0.000162676	-0.0149747	0.0148951	-0.012691	-0.00237389	0.00776304	0.00385463	-0.0258004	0.0044573	2
M028	NA19761	0	0.0873722	0.0151984	0.00612923	0.0100524	-0.0366663	-0.00519173	-0.0066207	0.0170016	0.0179853	0.0137618	2
M028	NA19762	0	0.0911308	-0.00416707	0.0187828	0.00917068	0.00474522	0.00533754	-0.0111183	-0.0124525	-0.0167524	-0.0177847	2
M031	NA19771	0	0.0776646	-0.00238731	-0.0282919	-0.00166131	-0.00790866	-0.00194569	-0.00313881	0.0148267	-0.0139181	0.00751912	2
M031	NA19770	0	0.0663676	0.00956306	-0.0201174	0.0150777	0.018809	0.0138999	0.0138881	0.00124418	-0.00544362	-0.002705	2
M033	NA19773	0	0.0525029	0.0060908	-0.0180371	0.00856648	-0.00327789	0.00376576	-0.00728734	0.0004293	0.00484776	0.00777	2
M034	NA19776	0	0.0671603	-0.014069	0.00779452	-0.0078873	0.0370736	0.00611596	0.014672	0.0193944	-0.0469948	0.0150508	2
M034	NA19777	0	0.0719533	-0.00203894	0.0176549	-0.0146004	-0.015546	0.02742	0.00758517	0.00511937	-0.00601743	-0.00332363	2
M035	NA19780	0	0.0563138	-0.00759074	0.0119475	0.0288905	-0.0081657	0.00665099	-0.00371522	0.0128333	0.0054163	-0.0418429	2
M035	NA19779	0	0.0478165	-0.00604172	0.0191508	0.0111325	0.00308372	-0.0046135	-0.00912625	0.01577	0.0246064	0.00540566	2
M036	NA19783	0	0.114275	0.00174992	-0.0024351	0.000862086	0.00341578	0.000248192	-0.0144809	0.00663918	0.0220707	0.000446052	2
M036	NA19782	0	0.0743643	-0.00602708	-0.00465145	0.00832379	-0.00274595	-0.024551	-0.0215456	-0.0303779	-0.00981439	-0.00817778	2
M037	NA19788	0	0.101587	-0.0048383	0.000569378	-0.0113162	0.0183898	-0.0133905	-0.00751163	0.0026646	0.0126339	-0.00365829	2
M037	NA19789	0	0.0744418	-0.00701011	0.0180545	0.00984397	0.0248569	0.00210476	0.010309	-0.0162781	-0.00941291	-0.0253431	2
M039	NA19794	0	0.0331262	0.00359893	-0.0279274	0.00327752	-0.0271755	0.00275734	0.00788975	0.00980656	0.0101796	-0.00476577	2
M039	NA19795	0	0.072888	0.0020235	-0.0285701	0.0197745	0.00908723	0.0162646	0.0307324	0.0319245	-0.0141701	-0.0120546	2
